cve,succeed,tp,tn,fp,fn,false_positive,false_negative,failed_versions,target,no_sig
CVE-2015-8958,0,0,0,0,0,,,,3,true
CVE-2015-8900,3,0,3,0,3,7.0.1-0;7.0.1-1;7.0.1-2,,,6,
CVE-2015-8895,0,0,0,0,0,,,7.0.1-0;7.0.1-1;7.0.1-2;7.0.5-1;7.0.5-2;7.0.5-3,6,
CVE-2015-8896,0,0,0,3,0,,7.1.0-0;7.1.0-1;7.1.0-2,7.0.1-0;7.0.1-1;7.0.1-2,6,
CVE-2016-7515,3,0,3,0,0,,,,3,
CVE-2016-7514,3,0,3,0,0,,,,3,
CVE-2016-7534,0,0,0,0,0,,,7.0.1-1;7.0.1-2;7.0.1-3,3,
CVE-2016-10065,3,0,3,0,0,,,,3,
CVE-2016-5689,6,3,3,0,0,,,,6,
CVE-2016-5690,6,3,3,0,0,,,,6,
CVE-2016-5691,6,3,3,0,0,,,,6,
CVE-2016-10060,0,0,0,0,0,,,,6,true
CVE-2016-6491,6,3,3,0,0,,,,6,
CVE-2016-7101,3,0,3,0,3,7.0.2-1;7.0.2-0;7.0.1-10,,,6,
CVE-2016-9556,3,0,3,0,1,7.0.3-8,,,4,
CVE-2017-9098,3,3,0,3,0,,7.1.0-0;7.1.0-1;7.1.0-2,,6,
CVE-2017-9499,3,0,3,0,1,7.0.5-7,,,4,
CVE-2017-11523,6,3,3,0,0,,,,6,
CVE-2017-15277,4,1,3,0,0,,,,4,
CVE-2017-14174,0,0,0,0,0,,,7.0.7-0;7.0.7-1;7.0.7-2;7.0.7-3,4,
CVE-2017-15032,3,0,3,0,1,7.0.7-2,,,4,
CVE-2017-15033,3,0,3,0,1,7.0.7-2,,,4,
CVE-2019-12974,3,0,3,0,1,7.0.8-34,,,4,
CVE-2019-12979,3,0,3,0,1,7.0.8-34,,,4,
CVE-2019-10131,6,3,3,0,0,,,,6,
CVE-2018-16643,4,1,3,0,0,,,,4,
CVE-2018-16644,3,0,3,0,1,7.0.8-11,,,4,
CVE-2018-16645,3,0,3,0,1,7.0.8-11,,,4,
CVE-2018-20467,3,0,3,0,3,7.0.8-15;7.0.8-14;7.0.8-13,,,6,
CVE-2019-12978,1,1,0,3,0,,7.0.8-35;7.0.8-36;7.0.8-37,,4,
CVE-2019-7175,0,0,0,0,0,,,7.0.8-24;7.0.8-23;7.0.8-22;7.1.0-0;7.1.0-1;7.1.0-2,6,
CVE-2019-7395,0,0,0,0,0,,,,6,true
CVE-2019-7396,3,0,3,0,3,7.0.8-24;7.0.8-23;7.0.8-22,,,6,
CVE-2019-7398,3,0,3,0,3,7.0.8-24;7.0.8-23;7.0.8-22,,,6,
CVE-2019-11470,0,0,0,3,0,,7.0.8-28;7.0.8-29;7.0.8-30,,3,
CVE-2019-10714,0,0,0,0,0,,,7.0.8-31;7.0.8-30;7.0.8-29;7.1.0-0;7.1.0-1;7.1.0-2,6,
CVE-2019-12975,2,1,1,2,0,,7.0.8-36;7.0.8-37,,4,
