cve,succeed,tp,tn,fp,fn,precision,recall,f1_score,failed_versions,false_positive,false_negative,func_not_found,target
CVE-2017-12893,3,3,0,0,3,1.0000,0.5000,0.6667,0,,4.9.3;4.99.0-bp;4.99-bp,,6
CVE-2017-12894,2,0,2,0,0,0.0000,0.0000,0.0000,0,,,4.9.1;4.9.0;4.8.1;4.9.3,6
CVE-2017-12895,3,0,3,3,0,0.0000,0.0000,0.0000,0,4.9.1;4.9.0;4.8.1,,,6
CVE-2017-12896,0,0,0,0,0,0.0000,0.0000,0.0000,6,,,,6
CVE-2017-12897,3,3,0,0,3,1.0000,0.5000,0.6667,0,,4.9.3;4.99.0-bp;4.99-bp,,6
CVE-2017-12898,0,0,0,0,0,0.0000,0.0000,0.0000,6,,,,6
CVE-2017-12899,3,3,0,0,3,1.0000,0.5000,0.6667,0,,4.9.3;4.99.0-bp;4.99-bp,,6
CVE-2017-12901,3,3,0,0,3,1.0000,0.5000,0.6667,0,,4.9.3;4.99.0-bp;4.99-bp,,6
CVE-2017-12902,4,3,1,0,2,1.0000,0.6000,0.7500,0,,4.99.0-bp;4.99-bp,,6
CVE-2017-12985,3,0,3,0,0,0.0000,0.0000,0.0000,3,,,,6
CVE-2017-12987,0,0,0,0,0,0.0000,0.0000,0.0000,6,,,,6
CVE-2017-12988,3,3,0,0,3,1.0000,0.5000,0.6667,0,,4.9.3;4.99.0-bp;4.99-bp,,6
CVE-2017-12989,0,0,0,0,0,0.0000,0.0000,0.0000,5,,,4.8.1,6
CVE-2017-12990,6,3,3,0,0,1.0000,1.0000,1.0000,0,,,,6
CVE-2017-12991,3,3,0,0,3,1.0000,0.5000,0.6667,0,,4.9.3;4.99.0-bp;4.99-bp,,6
CVE-2017-12992,2,2,0,0,0,1.0000,1.0000,1.0000,4,,,,6
CVE-2017-12993,3,3,0,0,3,1.0000,0.5000,0.6667,0,,4.9.3;4.99.0-bp;4.99-bp,,6
CVE-2017-12994,0,0,0,0,0,0.0000,0.0000,0.0000,6,,,,6
CVE-2017-12995,0,0,0,0,0,0.0000,0.0000,0.0000,4,,,4.99.0-bp;4.99-bp,6
CVE-2017-12996,0,0,0,0,0,0.0000,0.0000,0.0000,0,,,4.9.1;4.9.0;4.8.1;4.9.3;4.99.0-bp;4.99-bp,6
CVE-2017-12997,0,0,0,0,0,0.0000,0.0000,0.0000,0,,,4.9.1;4.9.0;4.8.1;4.9.3;4.99.0-bp;4.99-bp,6
CVE-2017-12998,0,0,0,0,0,0.0000,0.0000,0.0000,6,,,,6
CVE-2017-12999,3,3,0,0,3,1.0000,0.5000,0.6667,0,,4.9.3;4.99.0-bp;4.99-bp,,6
CVE-2017-13000,0,0,0,0,0,0.0000,0.0000,0.0000,6,,,,6
CVE-2017-13001,0,0,0,0,0,0.0000,0.0000,0.0000,0,,,4.9.1;4.9.0;4.8.1;4.9.3;4.99.0-bp;4.99-bp,6
CVE-2017-13002,3,3,0,0,3,1.0000,0.5000,0.6667,0,,4.9.3;4.99.0-bp;4.99-bp,,6
CVE-2017-13003,0,0,0,0,0,0.0000,0.0000,0.0000,6,,,,6
CVE-2017-13004,3,3,0,0,3,1.0000,0.5000,0.6667,0,,4.9.3;4.99.0-bp;4.99-bp,,6
CVE-2017-13005,0,0,0,0,0,0.0000,0.0000,0.0000,0,,,4.9.1;4.9.0;4.8.1;4.9.3;4.99.0-bp;4.99-bp,6
CVE-2017-13006,3,3,0,0,0,1.0000,1.0000,1.0000,0,,,4.9.3;4.99.0-bp;4.99-bp,6
CVE-2017-13007,0,0,0,0,0,0.0000,0.0000,0.0000,6,,,,6
CVE-2017-13008,0,0,0,0,0,0.0000,0.0000,0.0000,6,,,,6
CVE-2017-13009,0,0,0,0,0,0.0000,0.0000,0.0000,6,,,,6
CVE-2017-13011,6,3,3,0,0,1.0000,1.0000,1.0000,0,,,,6
CVE-2017-13012,0,0,0,0,0,0.0000,0.0000,0.0000,6,,,,6
CVE-2017-13013,2,0,2,0,0,0.0000,0.0000,0.0000,4,,,,6
CVE-2017-13014,0,0,0,0,0,0.0000,0.0000,0.0000,0,,,4.9.1;4.9.0;4.8.1;4.9.3;4.99.0-bp;4.99-bp,6
CVE-2017-13015,0,0,0,0,0,0.0000,0.0000,0.0000,6,,,,6
CVE-2017-13016,0,0,0,0,2,0.0000,0.0000,0.0000,0,,4.99.0-bp;4.99-bp,4.9.1;4.9.0;4.8.1;4.9.3,6
CVE-2017-13017,3,3,0,0,3,1.0000,0.5000,0.6667,0,,4.9.3;4.99.0-bp;4.99-bp,,6
