cve,succeed,tp,tn,fp,fn,false_positive,false_negative,failed_versions,target,no_sig
CVE-2020-27761,0,0,0,0,0,,,7.0.8-68;7.0.8-67;7.0.8-66;7.1.0-0;7.1.0-1;7.1.0-2,6,
CVE-2020-25675,0,0,0,0,0,,,7.0.8-68;7.0.8-67;7.0.8-66;7.1.0-0;7.1.0-1;7.1.0-2,6,
CVE-2020-25676,0,0,0,0,0,,,7.0.8-68;7.0.8-67;7.0.8-66;7.1.0-0;7.1.0-1;7.1.0-2,6,
CVE-2020-27765,0,0,0,0,0,,,7.0.8-68;7.0.8-67;7.0.8-66;7.1.0-0;7.1.0-1;7.1.0-2,6,
CVE-2020-27775,0,0,0,0,0,,,7.0.8-68;7.0.8-67;7.0.8-66;7.1.0-0;7.1.0-1;7.1.0-2,6,
CVE-2020-27774,3,3,0,3,0,,7.1.0-0;7.1.0-1;7.1.0-2,,6,
CVE-2020-27769,0,0,0,0,0,,,,6,true
CVE-2020-25666,0,0,0,0,0,,,7.0.8-68;7.0.8-67;7.0.8-66;7.1.0-0;7.1.0-1;7.1.0-2,6,
CVE-2020-25667,0,0,0,0,0,,,7.0.8-68;7.0.8-67;7.0.8-66;7.1.0-0;7.1.0-1;7.1.0-2,6,
CVE-2020-27772,0,0,0,3,0,,7.1.0-0;7.1.0-1;7.1.0-2,7.0.8-68;7.0.8-67;7.0.8-66,6,
CVE-2020-27752,3,0,3,0,3,7.0.8-68;7.0.8-67;7.0.8-66,,,6,
CVE-2020-27753,0,0,0,0,0,,,7.0.8-68;7.0.8-67;7.0.8-66;7.1.0-0;7.1.0-1;7.1.0-2,6,
CVE-2020-27755,3,3,0,3,0,,7.1.0-0;7.1.0-1;7.1.0-2,,6,
CVE-2019-18853,3,0,3,0,0,,,7.0.8-68;7.0.8-67;7.0.8-66,6,
CVE-2020-19667,1,1,0,3,0,,7.0.10-8;7.0.10-9;7.0.10-10,,4,
CVE-2021-3596,3,0,3,0,0,,,7.0.10-30;7.0.10-29;7.0.10-28,6,
CVE-2020-27560,3,0,3,0,1,7.0.10-34,,,4,
CVE-2020-27829,0,0,0,0,0,,,,6,true
CVE-2022-48541,3,0,3,0,1,7.0.10-45,,,4,
CVE-2021-20176,0,0,0,0,0,,,7.0.10-55;7.0.10-54;7.0.10-53;7.0.10-57;7.0.10-58;7.0.10-59,6,
CVE-2021-20244,3,3,0,3,0,,7.0.10-62;7.0.11-0;7.0.11-1,,6,
CVE-2021-20246,0,0,0,0,0,,,7.0.10-61;7.0.10-60;7.0.10-59;7.0.10-62;7.0.11-0;7.0.11-1,6,
CVE-2021-20311,0,0,0,0,0,,,7.0.10-62;7.0.10-61;7.0.10-60;7.0.11-2;7.0.11-3;7.0.11-4,6,
CVE-2021-20312,0,0,0,0,0,,,7.0.10-62;7.0.10-61;7.0.10-60;7.0.11-2;7.0.11-3;7.0.11-4,6,
CVE-2021-20313,0,0,0,0,0,,,7.0.10-62;7.0.10-61;7.0.10-60;7.0.11-2;7.0.11-3;7.0.11-4,6,
CVE-2021-20309,3,3,0,3,0,,7.0.11-2;7.0.11-3;7.0.11-4,,6,
CVE-2021-20310,0,0,0,0,0,,,7.0.10-62;7.0.10-61;7.0.10-60;7.0.11-2;7.0.11-3;7.0.11-4,6,
CVE-2021-3574,0,0,0,0,0,,,7.0.11-5;7.0.11-8;7.0.11-9;7.0.11-10,4,
CVE-2021-3610,0,0,0,0,0,,,7.0.11-13;7.0.11-12;7.0.11-11;7.0.11-14;7.1.0-0;7.1.0-1,6,
CVE-2023-34153,0,0,0,0,0,,,,6,true
CVE-2023-3195,0,0,0,0,0,,,7.1.1-0;7.1.1-1;7.1.1-2;7.1.1-3;7.1.1-4,5,
CVE-2021-3962,0,0,0,0,0,,,7.1.0-14;7.1.0-15;7.1.0-16;7.1.0-17,4,
CVE-2022-0284,3,0,3,0,3,7.1.0-19;7.1.0-18;7.1.0-17,,,6,
CVE-2022-32545,0,0,0,0,0,,,7.1.0-27;7.1.0-26;7.1.0-25;7.1.0-28;7.1.0-29;7.1.0-30,6,
CVE-2022-1115,0,0,0,0,0,,,7.1.0-28;7.1.0-27;7.1.0-26;7.1.0-29;7.1.0-30;7.1.0-31,6,
CVE-2022-32546,0,0,0,0,0,,,7.1.0-28;7.1.0-27;7.1.0-26;7.1.0-29;7.1.0-30;7.1.0-31,6,
CVE-2022-28463,4,1,3,0,0,,,,4,
CVE-2022-32547,0,0,0,0,0,,,7.1.0-29;7.1.0-28;7.1.0-27;7.1.0-30;7.1.0-31;7.1.0-32,6,
CVE-2022-3213,0,0,0,0,0,,,7.1.0-46;7.1.0-45;7.1.0-44;7.1.0-48;7.1.0-49;7.1.0-50,6,
CVE-2023-1289,0,0,0,0,0,,,7.1.0-62;7.1.0-61;7.1.0-60;7.1.1-0;7.1.1-1;7.1.1-2,6,
CVE-2023-1906,0,0,0,0,0,,,7.1.1-4;7.1.1-6;7.1.1-7;7.1.1-8,4,
CVE-2023-34474,0,0,0,0,0,,,,6,true
CVE-2023-34475,0,0,0,0,0,,,,6,true
CVE-2023-34151,0,0,0,0,0,,,7.1.1-10;7.1.1-1;7.1.1-0;7.1.1-11;7.1.1-12;7.1.1-13,6,
CVE-2023-34152,0,0,0,0,0,,,,6,true
CVE-2023-3428,0,0,0,0,0,,,7.1.1-11;7.1.1-10;7.1.1-1;7.1.1-13;7.1.1-14;7.1.1-15,6,
CVE-2023-5341,3,0,3,0,3,7.1.1-19;7.1.1-11;7.1.1-10,,,6,
